"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1074","profile modal has business name field","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","11111","Escape closes the sign in modal","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","4036","footer has Privacy link","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","14514","landing page has no violations","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","7652","heading hierarchy has no skipped levels","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1261","new invoice form has a line item description field","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","1203","billing modal closes on Escape","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","10867","shows Continue with Google button","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","501","voice parse is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","1181","clicking profile button opens modal","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","974","invoice list loads","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","1263","can open new invoice form","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","6802","page has a main landmark","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1121","clicking billing opens modal","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","433","records function is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","10050","shows email field","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","10414","Escape closes the sign up modal","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","929","profile modal closes on Escape","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","10979","opens auth modal with Create your account heading","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","11423","submitting with a weak password shows an error","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","5602","Sign In nav button is visible","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","1306","Open the new invoice form","EP-10 Miscellaneous","2026-05-15","passed","2026-05-15","","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","",""
"","1033","trash button opens recently deleted modal","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","11456","Sign In tab switches back to login mode","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","912","page title is set","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","1276","Fill in client and line item","EP-10 Miscellaneous","2026-05-15","passed","2026-05-15","","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","",""
"","1137","billing modal shows current plan","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","1254","new invoice form has client name field","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","991","profile modal has email field","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","5577","page title is set and non-empty","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","479","text parse is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","11802","auth modal receives focus on open","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","6635","all images have non-empty alt text","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","302","subscription status is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","577","checkout is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","10724","shows password field","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","1273","Cancel discards the new invoice form","EP-10 Miscellaneous","2026-05-15","passed","2026-05-15","","../.features-gen/apps/app-under-test/features/invoice-lifecycle.feature.spec.js","",""
"","5715","mismatched passwords shows an error","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","12916","sign in form inputs all have labels","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","913","new invoice button is visible","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","5447","Sign Up nav button is visible","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","11614","Back to sign in link returns to login mode","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","1299","invoice list shows status filters","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","886","profile button is visible in sidebar","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","936","sidebar shows invoices nav link","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","11001","Forgot password link appears in login mode","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","9932","page has a non empty title","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","8819","a hero CTA button is visible","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","1327","clicking new invoice opens the form","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","1032","billing link is visible in sidebar","EP-06 Subscription Billing & Payments","2026-05-15","passed","2026-05-15","","app-under-test/e2e/billing.spec.js","",""
"","14141","sign in modal has no violations","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","10548","page has a navigation landmark","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","13505","sign up modal has no violations","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1154","help button opens help modal","EP-07 Account Settings & Profile","2026-05-15","passed","2026-05-15","","app-under-test/e2e/profile.spec.js","",""
"","10945","all buttons have an accessible name","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
"","1056","cancel closes the invoice form","EP-05 Record Lifecycle (CRUD)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/invoices.spec.js","",""
"","411","send is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","10560","opens auth modal with Welcome back heading","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","416","profile is alive and requires auth","EP-09 API Health & Contract Smoke","2026-05-15","passed","2026-05-15","","app-under-test/api/smoke.spec.js","",""
"","966","sidebar is visible after login","EP-04 Dashboard & Navigation","2026-05-15","passed","2026-05-15","","app-under-test/e2e/dashboard.spec.js","",""
"","7399","footer has Terms link","EP-02 Marketing Funnel & Acquisition","2026-05-15","passed","2026-05-15","","app-under-test/e2e/landing.spec.js","",""
"","10976","shows reset form with Send Reset Link button","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","11378","Sign Up tab switches to signup mode","EP-01 Authentication & Session","2026-05-15","passed","2026-05-15","","app-under-test/e2e/auth.spec.js","",""
"","6557","page has exactly one h1","EP-08 Accessibility Compliance (WCAG 2.1 AA)","2026-05-15","passed","2026-05-15","","app-under-test/e2e/accessibility.spec.js","",""
